               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11689,            0.062684,             0.10992,           0.0013811,            0.027356,           0.0011081,           0.0002468,             0.11258,            0.037027,             0.10969,              0.0802,              0.0022,              0.0022
                   1,             0.10207,            0.074465,            0.098828,            0.001597,            0.058992,           0.0021889,          0.00046069,            0.097269,            0.040492,            0.093372,            0.059485,           0.0044852,           0.0044852
                   2,            0.088475,            0.070134,            0.074442,             0.97975,           0.0047492,           0.0011287,           0.0003804,             0.10118,            0.044051,             0.09056,            0.038755,           0.0067551,           0.0067551
                   3,            0.089577,            0.066578,            0.065366,             0.98578,           0.0066489,           0.0057734,           0.0015244,            0.098415,            0.033915,            0.086383,             0.01801,           0.0090099,           0.0090099
                   4,            0.086183,            0.059459,            0.059015,           0.0048354,             0.16622,            0.010047,           0.0030857,            0.086879,            0.032675,            0.079936,            0.009868,            0.009868,            0.009868
                   5,            0.081825,            0.066973,            0.062894,           0.0045893,            0.098643,              0.0095,           0.0023837,            0.090151,            0.033006,            0.079508,            0.009868,            0.009868,            0.009868
                   6,            0.080846,            0.057133,            0.057382,             0.98574,           0.0091185,            0.014971,           0.0048314,            0.081346,            0.034385,             0.07527,            0.009835,            0.009835,            0.009835
                   7,            0.074649,            0.069127,            0.053652,           0.0089808,             0.22824,            0.025296,           0.0097649,            0.074098,            0.035443,            0.074583,            0.009802,            0.009802,            0.009802
                   8,            0.069213,            0.066718,            0.054455,           0.0068258,             0.23694,            0.024501,            0.007432,             0.07664,            0.034262,            0.073287,            0.009769,            0.009769,            0.009769
                   9,            0.069019,            0.061251,            0.054538,           0.0087917,             0.31537,            0.036275,            0.014708,            0.071603,            0.034501,            0.071518,            0.009736,            0.009736,            0.009736
                  10,              0.0627,            0.063076,            0.048688,           0.0086653,               0.325,            0.034381,            0.014152,            0.069562,            0.037235,            0.070496,            0.009703,            0.009703,            0.009703
                  11,            0.062077,            0.057743,            0.053483,           0.0077882,             0.34258,             0.05146,            0.023917,            0.062958,            0.035657,             0.06968,             0.00967,             0.00967,             0.00967
                  12,            0.061178,            0.060611,            0.050897,             0.97077,            0.021657,            0.056992,            0.023495,            0.061219,            0.036374,            0.068913,            0.009637,            0.009637,            0.009637
                  13,            0.057432,            0.057103,            0.046809,             0.97417,            0.019028,            0.061916,             0.03192,            0.060516,            0.038144,            0.068228,            0.009604,            0.009604,            0.009604
                  14,            0.058476,            0.057933,            0.048898,             0.95893,            0.033245,            0.063972,            0.028358,            0.062228,            0.036394,            0.067491,            0.009571,            0.009571,            0.009571
